# S45 Re-gate verdict — fixed (close-bias-corrected) harness, prod_safety preset + -170 floor
# Generated 2026-05-30T00:20Z. Roster: 279 live S43/S43b engines.
#
# 80/20 OOS split: 279 PASS / 0 FAIL.
# 90d holdout:  OLD(buggy)=233 PASS/46 FAIL  ->  NEW(fixed)=279 PASS/0 FAIL.
# CONCLUSION: zero culls. Close-bias bug caused ~46 FALSE-NEGATIVE fails; fix revives them.
# Blew-up engines (29-May) all PASS strongly (JUP PF3.1, RENDER PF3.2, SEI PF2.3) -> loss was
# protection-gap (no real floor) + correlated dump, NOT engine quality.
#
tag,symbol,strategy,tf_secs,trades,wins,wr,total_bp,pf,sharpe,maxdd_bp,verdict_fixed_80_20
STX-TSMOM-H6,stxusdt,TSMOM,21600,470,368,78.3,42182.6,3.561,6.07,839,PASS
LDO-TSMOM-H8,ldousdt,TSMOM,28800,291,242,83.2,38132.2,5.640,9.95,510,PASS
UNI-TSMOM-H8,uniusdt,TSMOM,28800,390,321,82.3,50785.6,5.658,8.68,630,PASS
ARKM-TSMOM-H12,arkmusdt,TSMOM,43200,123,89,72.4,14024.8,3.189,6.13,576,PASS
STX-TSMOM-H8,stxusdt,TSMOM,28800,281,215,76.5,32989.6,3.969,4.91,764,PASS
JUP-TSMOM-H12,jupusdt,TSMOM,43200,163,129,79.1,27144.3,6.202,10.20,576,PASS
AVAX-TSMOM-H3,avaxusdt,TSMOM,10800,978,787,80.5,43414.7,2.581,10.68,973,PASS
COMP-TSMOM-H12,compusdt,TSMOM,43200,266,218,82.0,45650.3,6.558,7.36,525,PASS
AAVE-TSMOM-H8,aaveusdt,TSMOM,28800,270,221,81.9,26289.6,4.296,8.64,701,PASS
CRV-TSMOM-H12,crvusdt,TSMOM,43200,177,142,80.2,28038.5,5.172,7.41,758,PASS
JUP-TSMOM-H8,jupusdt,TSMOM,28800,231,183,79.2,30847.6,4.956,12.03,607,PASS
IMX-TSMOM-H12,imxusdt,TSMOM,43200,250,193,77.2,40076.5,4.765,8.48,1294,PASS
MANA-TSMOM-H4,manausdt,TSMOM,14400,708,582,82.2,50540.1,3.515,12.03,780,PASS
STX-TSMOM-H12,stxusdt,TSMOM,43200,248,198,79.8,41800.4,5.775,6.06,728,PASS
XLM-TSMOM-H4,xlmusdt,TSMOM,14400,617,504,81.7,42901.5,3.533,8.87,769,PASS
FET-ICHI-H3,fetusdt,ICHIMOKU,10800,454,366,80.6,46741.3,4.562,9.59,770,PASS
MASK-TSMOM-H12,maskusdt,TSMOM,43200,241,182,75.5,24547.9,3.739,5.72,1068,PASS
RUNE-TSMOM-H4,runeusdt,TSMOM,14400,699,561,80.3,33895.9,2.836,9.93,1026,PASS
SAND-TSMOM-H6,sandusdt,TSMOM,21600,486,394,81.1,43501.4,3.982,9.28,677,PASS
ATOM-TSMOM-H8,atomusdt,TSMOM,28800,323,265,82.0,29397.6,4.165,9.53,768,PASS
ICP-TSMOM-H12,icpusdt,TSMOM,43200,254,185,72.8,36554.4,3.955,7.11,1270,PASS
ARKM-TSMOM-H8,arkmusdt,TSMOM,28800,189,153,81.0,26499.8,5.074,7.30,384,PASS
DOT-TSMOM-H3,dotusdt,TSMOM,10800,842,682,81.0,44825.3,3.011,11.14,818,PASS
ADA-TSMOM-H6,adausdt,TSMOM,21600,454,356,78.4,32777.0,3.175,8.82,1092,PASS
GMT-TSMOM-H12,gmtusdt,TSMOM,43200,225,171,76.0,34886.2,5.127,6.99,746,PASS
SAND-TSMOM-H8,sandusdt,TSMOM,28800,317,266,83.9,41043.0,6.062,9.31,768,PASS
UNI-TSMOM-D1,uniusdt,TSMOM,86400,126,101,80.2,33216.6,8.922,5.28,598,PASS
SOL-TSMOM-H8,solusdt,TSMOM,28800,530,437,82.5,43042.8,4.150,10.44,795,PASS
FET-ICHI-H4,fetusdt,ICHIMOKU,14400,317,251,79.2,36230.2,4.425,9.64,827,PASS
DOT-TSMOM-H6,dotusdt,TSMOM,21600,443,352,79.5,34099.9,3.443,9.20,716,PASS
