tag,symbol,kind,tf,trades,pf,win,avg,sharpe,mdd,cagr,expo,final,n_bars
BTC-TSMOM-H3,btcusdt,TSMOM,3h,1124,0.9911919913917282,0.7393238434163701,-9.100520735574637e-05,-0.043908727203254096,-0.7171132678264286,-0.10876094112696633,0.6543846251750032,0.5381378086629703,15714
ETH-TSMOM-H3,ethusdt,TSMOM,3h,2020,1.2686747876247584,0.806930693069307,0.0020231709085707567,1.4684609714889665,-0.5784996808281976,0.8599793111083096,0.5418734886088838,28.20718577102836,15714
SOL-TSMOM-H3,solusdt,TSMOM,3h,1969,1.411210053824679,0.8415439309294058,0.0047246351910557585,2.1003388261740374,-0.5287540490943425,2.9584151931397136,0.5735013363879343,1642.7262989223027,15714
XRP-TSMOM-H3,xrpusdt,TSMOM,3h,1647,1.4705576428861316,0.8166363084395871,0.004666835622973944,1.9521333785735888,-0.4842403257398342,2.178898596929938,0.5197276314114803,504.6675317940654,15714
LINK-TSMOM-H3,linkusdt,TSMOM,3h,1902,1.0108555834669637,0.8123028391167192,0.00011550936061867405,0.06452407344083169,-0.7774158609861687,-0.15204197987203494,0.4850451826396844,0.4116670294380598,15714
BNB-TSMOM-H3,bnbusdt,TSMOM,3h,1738,1.175809639418291,0.7589182968929804,0.001257614949804152,0.7778032234194323,-0.6611932229065294,0.3020417286218511,0.5453099147257223,4.138611884379435,15714
DOGE-TSMOM-H3,dogeusdt,TSMOM,3h,1669,1.5884687712685244,0.811264230077891,0.006851810353451449,2.2669362006256595,-0.593673777581192,4.4598771984477015,0.47276314114802087,9271.60006928955,15714
ETH-RSI30-H3,ethusdt,RSI_REVERT,3h,153,0.9115882933489536,0.7712418300653595,-0.0015634080915717876,-0.16813103106788743,-0.6356496897592685,-0.07860084445647952,0.07401043655339189,0.6436883447024493,15714
ETH-RSI30-H4,ethusdt,RSI_REVERT,4h,119,1.0718466955207744,0.7226890756302521,0.0015313636339531805,0.12596662647274706,-0.5394475996782426,-0.0037911333062262687,0.0817071101306635,0.9797658656665955,11786
DOGE-RSI30-H3,dogeusdt,RSI_REVERT,3h,190,1.0514121544807977,0.8105263157894737,0.0007358798350395512,0.09447850187657715,-0.4680534065486277,-0.01387181689859196,0.06071019473081329,0.9275821743245233,15714
AVAX-RSI25-H2,avaxusdt,RSI_REVERT,2h,143,1.0430280258200182,0.4125874125874126,0.0008053838822188236,0.07760183057784621,-0.43519434235152177,-0.015366046602052763,0.035302104548540394,0.9200531938591474,23568
