tag,symbol,kind,tf,n_bars,blowoff_skips,trades,pf,sharpe,win,mdd_cmp,mdd_bp,cum_bp,cagr,avg_loss_bp,avg_win_bp,worst_bp,max_loss_streak,max_run_loss_bp,n_sl,n_time,n_kill,n_giveback,passes
LINK-TSMOM-H3,linkusdt,TSMOM,3h,15776,0,4101,8.86067258565022,17.735580708211856,0.8066325286515484,-0.03384895125818166,-342.6842202608241,324463.61144765414,373.8419825917937,-52.05148247661097,110.56240539649548,-72.00000000000098,6,-318.6767545614088,622,0,396,3083,True
BNB-TSMOM-H3,bnbusdt,TSMOM,3h,15776,25,4259,3.923143892857973,11.156345054325707,0.7053298896454567,-0.067060672786449,-688.8080668299808,177318.9663558088,24.363043057809463,-48.33494970183538,79.22081499055015,-70.000000000001,8,-357.99193043540583,990,0,650,2619,True
DOGE-TSMOM-H3,dogeusdt,TSMOM,3h,15776,173,3708,9.431305969546607,12.121414662578948,0.7915318230852212,-0.04843200770553602,-494.8273775363632,339013.4526271315,456.39375365630684,-52.01667503656871,129.20693098139677,-72.00000000000098,5,-269.32856065121274,612,0,397,2699,True
ETH-RSI30-H3,ethusdt,RSI_REVERT,3h,15776,0,213,8.064409680428161,4.1775870904365044,0.7793427230046949,-0.014672273769458899,-147.26746613584328,14062.30913455136,0.293726577767911,-42.352875926987345,96.70418254891429,-66.99999999999989,3,-125.99999999999952,32,0,30,151,True
ETH-RSI30-H4,ethusdt,RSI_REVERT,4h,11833,0,171,12.106559590066867,4.345201675705923,0.8245614035087719,-0.014636024733013842,-147.0652832377409,14789.343059262299,0.31075991850691076,-44.38621140756355,114.33283263467528,-67.00000000000067,3,-147.06528323774043,24,0,15,132,True
DOGE-RSI30-H3,dogeusdt,RSI_REVERT,3h,15776,0,248,12.777735314630227,1.5879607414334451,0.8024193548387096,-0.015058908653793779,-151.31089276118655,28491.063439851812,0.6263076859210137,-49.368597506212986,155.32725988771995,-72.00000000000034,3,-151.31089276118502,37,0,23,188,True
AVAX-RSI25-H2,avaxusdt,RSI_REVERT,2h,23661,0,161,7.891034481264189,2.8421007771524276,0.7639751552795031,-0.016318178791731364,-164.0597014925388,13113.924759461566,0.26905845991878463,-50.08004009877121,122.08915677410471,-72.00000000000003,3,-164.0597014925372,26,0,24,111,True
DOGE-RSI25-H2,dogeusdt,RSI_REVERT,2h,23661,0,156,6.782148948401931,3.128907860627747,0.7307692307692307,-0.01982617060530456,-199.26431829020476,13072.949919787232,0.26882574263875636,-53.831320353985824,134.50759100574246,-72.00000000000095,3,-162.10478359908092,26,0,25,105,True
BTC-RSI35-H3,btcusdt,RSI_REVERT,3h,15776,0,393,5.212338801015389,4.331556635768508,0.7582697201017812,-0.017618140351240097,-177.29078241774187,17722.912490082013,0.38332796132880964,-44.2882166873284,73.59158750126916,-67.00000000000048,4,-177.29078241774243,71,0,61,261,True
BNB-BOLL25-H3,bnbusdt,BOLLINGER,3h,15776,0,729,5.218140660172564,4.849402866231488,0.7283950617283951,-0.042972435631775885,-434.13039132119593,39254.33057410165,1.0419261660015997,-47.00037547125918,91.45085671828822,-70.00000000000097,6,-294.99999999999693,138,0,117,474,True
ETH-BOLL25-H3,ethusdt,BOLLINGER,3h,15776,0,412,10.099431387560179,5.34023133445847,0.8033980582524272,-0.02569527577697328,-259.1895377499968,31228.57389260783,0.7685714258570198,-42.36945506490915,104.71450076394409,-67.00000000000037,5,-209.99999999999685,56,0,55,301,True
BTC-RSI25-H2,btcusdt,RSI_REVERT,2h,23661,0,154,4.871816577588158,2.3358830266854897,0.7467532467532467,-0.01837753399098896,-184.900953843955,6473.851152822026,0.12559400842809176,-42.87294609113322,70.83387869892368,-67.0000000000003,3,-140.0721490520143,31,0,17,106,True
LINK-BOLL30-H1,linkusdt,BOLLINGER,1h,47316,0,704,3.9737991916006066,5.254139836216768,0.7400568181818182,-0.05426175266215216,-555.1946536482046,27027.565618094923,0.6404568837331253,-49.66428661914225,69.32078708137811,-72.00000000000061,6,-261.09505279983154,127,0,110,467,True
XRP-RSI30-H6,xrpusdt,RSI_REVERT,6h,7889,0,90,16.260488039576952,3.1132144197972416,0.8444444444444444,-0.008979749999999731,-89.99999999999909,10018.872010417013,0.20043225009751175,-46.89454971386522,140.4657329790938,-68.46088071825369,2,-89.99999999999892,11,0,10,69,True
XRP-RSI30-H2,xrpusdt,RSI_REVERT,2h,23661,0,315,6.085386372497104,3.5112664253636194,0.765079365079365,-0.027193007395010516,-274.73384479009655,18139.140135619647,0.3915633822337792,-48.20155193554099,90.06661816950079,-70.00000000000075,4,-255.47189052814423,65,0,37,213,True
NEAR-TSMOM-D1,nearusdt,TSMOM,1D,1973,8,511,161.0038126498539,7.660998596434259,0.9471624266144814,-0.01203984200934538,-120.74941588784714,222208.96018856656,48.91095707674189,-51.436033630495764,461.97878738964874,-72.00000000000057,2,-120.74941588784658,17,0,15,479,True
NEAR-TSMOM-H12,nearusdt,TSMOM,12h,3945,66,918,73.54092143379218,9.151418620833194,0.9150326797385621,-0.01651038904799973,-166.0,284930.0768324356,156.13189429017743,-50.357089912539614,343.87848791144495,-72.00000000000098,3,-165.99999999999915,58,0,37,823,True
NEAR-TSMOM-H6,nearusdt,TSMOM,6h,7889,25,1970,28.330615456477382,14.480059154493325,0.8736040609137056,-0.021980836302727513,-221.60758284915937,351974.7211305819,578.6414671265195,-51.72050000707011,212.00065405714275,-72.00000000000098,4,-171.89187374076286,172,0,139,1659,True
NEAR-TSMOM-H4,nearusdt,TSMOM,4h,11833,18,2957,22.663426853085767,13.553858219544693,0.8694622928643896,-0.02650644989143469,-267.4121466751676,440167.7134322498,2791.871241694504,-52.638526284297825,179.10781197121304,-72.00000000000102,4,-237.26524231370615,319,0,182,2456,True
NEAR-TSMOM-H3,nearusdt,TSMOM,3h,15776,0,3973,13.316713028659532,17.96339796484248,0.8200352378555248,-0.03267726214496791,-329.15983296453487,456401.2863544318,4002.276129178376,-51.82579767292492,151.46001586573794,-72.00000000000102,5,-270.42406679435123,512,0,381,3080,True
SUI-TSMOM-H6,suiusdt,TSMOM,6h,4479,4,1026,23.06453133110656,13.825702323195564,0.8615984405458089,-0.025733466105442804,-259.9999999999977,162201.67343098225,176.19637551351377,-51.76929836899023,191.8019386870803,-72.00000000000071,5,-259.9999999999978,117,0,69,840,True
SUI-TSMOM-H4,suiusdt,TSMOM,4h,6718,1,1571,16.460165020715802,16.58812156943983,0.8478676002546149,-0.03011531246009258,-304.80117257201346,194439.01082596628,506.79316354142566,-52.6224878881981,155.41725632976417,-72.00000000000097,5,-304.8011725720162,205,0,111,1255,True
APT-TSMOM-H6,aptusdt,TSMOM,6h,5265,39,1217,20.094267548603835,12.797338688941727,0.8652423993426458,-0.024268820605821695,-244.29812767771364,168590.5194823042,96.59803463758419,-53.837675094703606,168.4899318118099,-72.00000000000081,2,-144.0000000000014,139,0,85,993,True
