tag,symbol,strategy,tf_secs,oos_trades,oos_wins,oos_pf,oos_sharpe,oos_total_bp,oos_max_dd_bp,verdict,note,score
SOL-BOLL-H2,solusdt,BOLLINGER,7200,111,69,1.35702,0.870086,5443.09,1560.97,PASS,,6.391
NEAR-TSMOM-D2,nearusdt,TSMOM,172800,39,28,1.73363,0.96504,16853.2,7804.21,PASS,,6.351
ETH-BOLL-H12,ethusdt,BOLLINGER,43200,21,16,2.08505,0.880228,2449.98,1904.17,PASS,,6.348
XRP-BOLL-H8,xrpusdt,BOLLINGER,28800,45,34,1.65565,0.710867,3675.93,1855.91,PASS,,6.303
DOGE-ICHI-H12,dogeusdt,ICHIMOKU,43200,95,60,1.37331,0.817784,13139.7,7071.51,PASS,,6.254
XRP-DONCH-H12,xrpusdt,DONCHIAN,43200,39,25,1.70674,0.917002,8838.42,5358.45,PASS,,6.253
LINK-BOLL-H6,linkusdt,BOLLINGER,21600,47,39,1.62264,0.812029,4992.34,5025.81,PASS,,6.247
APT-RSI-H1,aptusdt,RSI_REVERT,3600,83,52,1.41014,0.409824,2861.08,2629.98,PASS,,6.231
BNB-TSMOM-D1,bnbusdt,TSMOM,86400,84,60,1.38807,0.821495,8357.67,5832.66,PASS,,6.150
ETH-RSI-H4,ethusdt,RSI_REVERT,14400,33,27,1.73844,0.735112,2379.12,1927.29,PASS,,6.078
XRP-BOLL-H4,xrpusdt,BOLLINGER,14400,84,47,1.36528,0.714199,5567.99,2188.06,PASS,,6.049
BNB-DONCH-H6,bnbusdt,DONCHIAN,21600,82,56,1.36588,0.724768,5045.43,3383.23,PASS,,6.019
SOL-DONCH-H16,solusdt,DONCHIAN,57600,34,28,1.68465,0.782562,5624.08,3064.42,PASS,,5.941
DOGE-TSMOM-D3,dogeusdt,TSMOM,259200,40,21,1.56174,0.681882,15269.5,9380.77,PASS,,5.761
NEAR-BOLL-H16,nearusdt,BOLLINGER,57600,23,15,1.80956,0.843501,8124.33,4307.17,PASS,,5.674
NEAR-DONCH-H16,nearusdt,DONCHIAN,57600,67,44,1.34831,0.687902,9876.84,6306.51,PASS,,5.669
DOGE-BOLL-H6,dogeusdt,BOLLINGER,21600,37,31,1.56661,0.616957,3372.21,2606.47,PASS,,5.657
SOL-TSMOM-D2,solusdt,TSMOM,172800,39,27,1.54031,0.703528,11068.3,5205.73,PASS,,5.643
SUI-TSMOM-D3,suiusdt,TSMOM,259200,63,45,1.31404,0.594711,12265,13262.1,PASS,,5.444
LINK-TSMOM-D3,linkusdt,TSMOM,259200,26,17,1.66339,0.709935,10123.6,7215.46,PASS,,5.419
ETH-TSMOM-D2,ethusdt,TSMOM,172800,30,22,1.58112,0.654971,8188.47,5213.33,PASS,,5.378
BTC-BOLL-H6,btcusdt,BOLLINGER,21600,48,24,1.38328,0.564252,2763.64,3105.02,PASS,,5.355
DOGE-BOLL-H8,dogeusdt,BOLLINGER,28800,39,32,1.45098,0.543567,3325.64,5558.74,PASS,,5.316
SOL-BOLL-H6,solusdt,BOLLINGER,21600,44,28,1.40009,0.587787,5627.01,3884.09,PASS,,5.298
BTC-TSMOM-D2,btcusdt,TSMOM,172800,26,15,1.58315,0.657567,6166.49,4717.16,PASS,,5.158
SOL-BOLL-H8,solusdt,BOLLINGER,28800,34,23,1.45246,0.601154,2817.8,2388.81,PASS,,5.122
NEAR-RSI-H3,nearusdt,RSI_REVERT,10800,30,18,1.4593,0.538013,3892.83,2360.18,PASS,,4.963
ARB-RSI-H4,arbusdt,RSI_REVERT,14400,23,15,1.38787,0.364601,1954.76,2601.11,PASS,,4.352
BTC-BOLL-H12,btcusdt,BOLLINGER,43200,23,11,1.35115,0.373722,1506.69,1714.16,PASS,,4.237
LINK-KELTNER-H12,linkusdt,KELTNER_REVERT,43200,22,15,1.34032,0.365808,2831.14,3198.56,PASS,,4.143
