tag,symbol,strategy,tf_secs,oos_trades,oos_wins,oos_pf,oos_sharpe,oos_total_bp,oos_max_dd_bp,verdict,note
ARB-BOLL-H6,arbusdt,BOLLINGER,21600,34,24,1.22843,0.294558,1882.15,5433.19,FAIL,
ARB-BOLL-H3,arbusdt,BOLLINGER,10800,97,49,0.934667,-0.162531,-1477.94,7391.02,FAIL,
APT-BOLL-H6,aptusdt,BOLLINGER,21600,59,34,1.20574,0.365834,2872.43,5146.62,FAIL,
SUI-BOLL-H4,suiusdt,BOLLINGER,14400,92,48,0.938596,-0.13103,-1175.41,9651.04,FAIL,
ARB-BOLL-H2,arbusdt,BOLLINGER,7200,162,102,0.8062,-0.698657,-7331.94,12429.3,FAIL,
ARB-BOLL-H4,arbusdt,BOLLINGER,14400,56,38,0.876653,-0.247218,-1397.09,4653.12,FAIL,
BTC-TSMOM-H8,btcusdt,TSMOM,28800,248,195,1.54992,1.64409,13297.2,2603.51,PASS,
ETH-TSMOM-H8,ethusdt,TSMOM,28800,385,307,1.49784,1.81261,19696.9,3729.3,PASS,
SOL-TSMOM-H8,solusdt,TSMOM,28800,264,180,1.23856,0.920063,13835.5,8548.21,FAIL,
XRP-TSMOM-H8,xrpusdt,TSMOM,28800,202,110,1.22907,0.759863,12805.8,11305.3,FAIL,
LINK-TSMOM-H8,linkusdt,TSMOM,28800,366,306,1.941,2.79572,39692.1,3859.47,PASS,
NEAR-TSMOM-H8,nearusdt,TSMOM,28800,444,330,1.78204,2.81162,47892.8,4112.35,PASS,
BNB-TSMOM-H8,bnbusdt,TSMOM,28800,355,302,1.70337,2.10547,22474.7,2572.77,PASS,
DOGE-TSMOM-H8,dogeusdt,TSMOM,28800,273,236,2.12425,2.73595,42015.5,4601.36,PASS,
AVAX-TSMOM-H8,avaxusdt,TSMOM,28800,277,235,1.35901,1.13997,18961.7,8064.43,PASS,
SUI-TSMOM-H8,suiusdt,TSMOM,28800,293,246,1.72029,2.11581,37505.9,7642.73,PASS,
APT-TSMOM-H8,aptusdt,TSMOM,28800,271,228,1.22785,0.732484,12473.8,8767.97,FAIL,
ARB-TSMOM-H8,arbusdt,TSMOM,28800,326,259,1.44903,1.4514,26642.5,8590.57,PASS,
BTC-TSMOM-H16,btcusdt,TSMOM,57600,72,47,1.77797,1.38726,11852.9,3673.37,PASS,
ETH-TSMOM-H16,ethusdt,TSMOM,57600,106,72,1.27292,0.664783,8388.1,5205.29,FAIL,
SOL-TSMOM-H16,solusdt,TSMOM,57600,157,134,1.55878,1.2717,17370.1,7309.47,PASS,
XRP-TSMOM-H16,xrpusdt,TSMOM,57600,145,115,1.77053,1.45187,24354.7,6759.86,PASS,
LINK-TSMOM-H16,linkusdt,TSMOM,57600,116,87,1.36716,0.858692,14186.6,8611.71,PASS,
NEAR-TSMOM-H16,nearusdt,TSMOM,57600,78,38,1.27796,0.588995,12736.8,15760.7,FAIL,
BNB-TSMOM-H16,bnbusdt,TSMOM,57600,161,135,1.81258,1.67871,17428.1,4934.84,PASS,
DOGE-TSMOM-H16,dogeusdt,TSMOM,57600,160,133,2.16235,2.29869,43305.9,5994.05,PASS,
AVAX-TSMOM-H16,avaxusdt,TSMOM,57600,67,35,1.02194,0.051993,857.845,10203.6,FAIL,
SUI-TSMOM-H16,suiusdt,TSMOM,57600,155,127,1.48531,1.14192,24542.9,12604.7,PASS,
APT-TSMOM-H16,aptusdt,TSMOM,57600,184,138,1.05585,0.180737,3335.77,19132.1,FAIL,
ARB-TSMOM-H16,arbusdt,TSMOM,57600,200,133,1.44775,1.30276,22059.5,5101.87,PASS,
BTC-TSMOM-D2,btcusdt,TSMOM,172800,26,15,1.58315,0.657567,6166.49,4717.16,PASS,
ETH-TSMOM-D2,ethusdt,TSMOM,172800,30,22,1.58112,0.654971,8188.47,5213.33,PASS,
SOL-TSMOM-D2,solusdt,TSMOM,172800,39,27,1.54031,0.703528,11068.3,5205.73,PASS,
XRP-TSMOM-D2,xrpusdt,TSMOM,172800,60,37,1.907,1.13985,20629.1,6426.45,PASS,
LINK-TSMOM-D2,linkusdt,TSMOM,172800,33,25,1.98768,0.907632,16383.2,9079.72,PASS,
NEAR-TSMOM-D2,nearusdt,TSMOM,172800,39,28,1.73363,0.96504,16853.2,7804.21,PASS,
BNB-TSMOM-D2,bnbusdt,TSMOM,172800,107,85,2.50148,2.12151,28150.8,3765.96,PASS,
DOGE-TSMOM-D2,dogeusdt,TSMOM,172800,71,44,1.66935,1.15381,22633.9,10126.7,PASS,
AVAX-TSMOM-D2,avaxusdt,TSMOM,172800,43,32,1.29122,0.453597,7211.75,10831.7,FAIL,
SUI-TSMOM-D2,suiusdt,TSMOM,172800,82,64,2.21123,1.88935,37118.7,5436.29,PASS,
ARB-TSMOM-D2,arbusdt,TSMOM,172800,58,36,1.29095,0.510194,8009.21,6469.39,FAIL,
BTC-TSMOM-D3,btcusdt,TSMOM,259200,43,38,2.01056,1.00907,10381.5,7418.04,PASS,
ETH-TSMOM-D3,ethusdt,TSMOM,259200,36,26,1.81907,0.876939,9206.77,4020.76,PASS,
SOL-TSMOM-D3,solusdt,TSMOM,259200,37,26,1.10497,0.16365,2876.01,9624.76,FAIL,
XRP-TSMOM-D3,xrpusdt,TSMOM,259200,28,16,1.99893,0.860101,17956.1,7630.95,PASS,
LINK-TSMOM-D3,linkusdt,TSMOM,259200,26,17,1.66339,0.709935,10123.6,7215.46,PASS,
BNB-TSMOM-D3,bnbusdt,TSMOM,259200,43,32,2.64918,1.39174,20691.2,6185.01,PASS,
DOGE-TSMOM-D3,dogeusdt,TSMOM,259200,40,21,1.56174,0.681882,15269.5,9380.77,PASS,
AVAX-TSMOM-D3,avaxusdt,TSMOM,259200,41,24,0.869499,-0.25879,-4570.63,14029,FAIL,
SUI-TSMOM-D3,suiusdt,TSMOM,259200,63,45,1.31404,0.594711,12265,13262.1,PASS,
ARB-TSMOM-D3,arbusdt,TSMOM,259200,57,33,0.736387,-0.625753,-10303.3,17487.3,FAIL,
BTC-RSI-H6,btcusdt,RSI_REVERT,21600,14,11,1.39065,0.295884,908.745,957.286,FAIL,
ETH-RSI-H6,ethusdt,RSI_REVERT,21600,20,17,1.02561,0.0234741,120.032,1999.72,FAIL,
LINK-RSI-H6,linkusdt,RSI_REVERT,21600,15,7,0.608367,-0.507079,-2989.56,3640.96,FAIL,
AVAX-RSI-H6,avaxusdt,RSI_REVERT,21600,15,6,0.634026,-0.476858,-2510.16,4024.48,FAIL,
BTC-BOLL-H6,btcusdt,BOLLINGER,21600,48,24,1.38328,0.564252,2763.64,3105.02,PASS,
ETH-BOLL-H6,ethusdt,BOLLINGER,21600,44,26,0.846048,-0.29045,-2073.46,4330.36,FAIL,
SOL-BOLL-H6,solusdt,BOLLINGER,21600,44,28,1.40009,0.587787,5627.01,3884.09,PASS,
XRP-BOLL-H6,xrpusdt,BOLLINGER,21600,51,33,1.16864,0.269756,2547.28,3154.98,FAIL,
LINK-BOLL-H6,linkusdt,BOLLINGER,21600,47,39,1.62264,0.812029,4992.34,5025.81,PASS,
BNB-BOLL-H6,bnbusdt,BOLLINGER,21600,57,43,0.907659,-0.170423,-671.017,3978.6,FAIL,
DOGE-BOLL-H6,dogeusdt,BOLLINGER,21600,37,31,1.56661,0.616957,3372.21,2606.47,PASS,
AVAX-BOLL-H6,avaxusdt,BOLLINGER,21600,46,25,1.12137,0.221447,1269.09,4440.23,FAIL,
BTC-RSI-H12,btcusdt,RSI_REVERT,43200,7,4,1.13481,0.0892602,374.084,1701.07,FAIL,
ETH-RSI-H12,ethusdt,RSI_REVERT,43200,8,5,0.655125,-0.301005,-955.199,1883.53,FAIL,
SOL-RSI-H12,solusdt,RSI_REVERT,43200,6,5,1.55489,0.245872,1403.21,2528.79,FAIL,
LINK-RSI-H12,linkusdt,RSI_REVERT,43200,9,5,0.782489,-0.201819,-1103.21,2872.22,FAIL,
DOGE-RSI-H12,dogeusdt,RSI_REVERT,43200,8,6,1.09994,0.0654346,219.189,1604.91,FAIL,
AVAX-RSI-H12,avaxusdt,RSI_REVERT,43200,7,3,0.0956446,-1.12079,-2813.88,2948.04,FAIL,
BTC-BOLL-H12,btcusdt,BOLLINGER,43200,23,11,1.35115,0.373722,1506.69,1714.16,PASS,
SOL-BOLL-H12,solusdt,BOLLINGER,43200,34,25,0.985227,-0.0204583,-150.615,4193.37,FAIL,
