tag,symbol,entry_ts,exit_ts,entry_px,exit_px,reason,gross_bp,net_bp,mfe_bp,in_bounce
SUI-TSMOM-H4,suiusdt,1782892800000,1782893700000,0.69710000,0.69200000,EARLY_KILL,-73.16,-95.16,0.00,0
TIA-TSMOM-H8,tiausdt,1782892800000,1782895500000,0.36530000,0.37130000,GIVEBACK,164.25,142.25,268.27,0
INJ-TSMOM-H8,injusdt,1782892800000,1782893700000,4.63200000,4.59000000,EARLY_KILL,-90.67,-112.67,0.00,0
SOL-TSMOM-H4,solusdt,1782907200000,1782908100000,74.84000000,74.27000000,EARLY_KILL,-76.16,-96.16,0.00,0
SUI-TSMOM-H4,suiusdt,1782907200000,1782908100000,0.69930000,0.69530000,EARLY_KILL,-57.20,-79.20,0.00,0
SOL-TSMOM-H4,solusdt,1782950400000,1782951300000,77.46000000,76.90000000,EARLY_KILL,-72.30,-92.30,0.00,0
FET-TSMOM-H8,fetusdt,1782950400000,1782953100000,0.17810000,0.17870000,SL,33.69,11.69,72.99,0
SUI-TSMOM-H4,suiusdt,1783008000000,1783008900000,0.74050000,0.73390000,EARLY_KILL,-89.13,-111.13,0.00,0
AVAX-TSMOM-H8,avaxusdt,1783008000000,1783008900000,6.77700000,6.73800000,EARLY_KILL,-57.55,-79.55,0.00,0
INJ-TSMOM-H8,injusdt,1783065600000,1783070100000,4.76600000,4.75300000,SL,-27.28,-49.28,48.26,0
LINK-TSMOM-H6,linkusdt,1783080000000,1783080900000,7.87600000,7.83400000,EARLY_KILL,-53.33,-75.33,0.00,0
FET-TSMOM-H8,fetusdt,1783094400000,1783098900000,0.18620000,0.18680000,SL,32.22,10.22,80.56,0
LINK-TSMOM-H6,linkusdt,1783101600000,1783107900000,7.88900000,7.94700000,GIVEBACK,73.52,51.52,110.28,0
INJ-TSMOM-H12,injusdt,1783123200000,1783124100000,4.86300000,4.83800000,EARLY_KILL,-51.41,-73.41,0.00,0
LINK-TSMOM-H6,linkusdt,1783123200000,1783127700000,7.97500000,7.89800000,SL,-96.55,-118.55,21.32,0
SOL-TSMOM-H4,solusdt,1783152000000,1783152900000,82.72000000,82.25000000,EARLY_KILL,-56.82,-76.82,0.00,0
SOL-ICHI-H8,solusdt,1783152000000,1783152900000,82.72000000,82.25000000,EARLY_KILL,-56.82,-76.82,0.00,0
SUI-TSMOM-H4,suiusdt,1783152000000,1783156500000,0.75870000,0.75110000,SL,-100.17,-122.17,19.77,0
AVAX-TSMOM-H8,avaxusdt,1783152000000,1783172700000,6.86700000,6.88400000,SL,24.76,2.76,74.27,0
FET-TSMOM-H8,fetusdt,1783180800000,1783181700000,0.18640000,0.18430000,EARLY_KILL,-112.66,-134.66,0.00,0
INJ-TSMOM-H8,injusdt,1783180800000,1783181700000,4.86300000,4.82300000,EARLY_KILL,-82.25,-104.25,0.00,0
SOL-TSMOM-H4,solusdt,1783252800000,1783255500000,80.57000000,80.76000000,TRAIL,23.58,3.58,93.09,0
TIA-TSMOM-H12,tiausdt,1783252800000,1783257300000,0.38710000,0.38710000,GIVEBACK,0.00,-22.00,121.42,0
SOL-TSMOM-H4,solusdt,1783267200000,1783268100000,81.36000000,80.91000000,EARLY_KILL,-55.31,-75.31,0.00,0
